Year, Net earnings by place of residence(Thousands of dollars), Personal current transfer receipts(Thousands of dollars),  Income maintenance benefits 1/(Thousands of dollars),  Unemployment insurance compensation(Thousands of dollars),  Retirement and other(Thousands of dollars)," Dividends, interest, and rent 2/(Thousands of dollars)", Population (persons) 3/(Number of persons), Per capita personal income 4/(Dollars), Per capita net earnings 4/(Dollars), Per capita personal current transfer receipts 4/(Dollars),  Per capita income maintenance benefits 4/(Dollars),  Per capita unemployment insurance compensation 4/(Dollars),  Per capita retirement and other 4/(Dollars)," Per capita dividends, interest, and rent 4/(Dollars)", Earnings by place of work(Thousands of dollars),  Wages and salaries(Thousands of dollars),  Supplements to wages and salaries(Thousands of dollars),   Employer contributions for employee pension and insurance funds 5/(Thousands of dollars),   Employer contributions for government social insurance(Thousands of dollars),  Proprietors' income(Thousands of dollars),   Farm proprietors' income(Thousands of dollars),   Nonfarm proprietors' income(Thousands of dollars),Total employment (number of jobs)(Number of jobs), Wage and salary employment(Number of jobs), Proprietors employment(Number of jobs),  Farm proprietors employment 6/(Number of jobs),  Nonfarm proprietors employment(Number of jobs),Average earnings per job (dollars)(Dollars), Average wages and salaries(Dollars), Average nonfarm proprietors' income(Dollars)
2001,2407072,670970,55225,10839,604906,931983,150207,26697,16025,4467,368,72,4027,6205,2767625,1976890,469892,330047,139845,320843,610,320233,84003,69972,14031,114,13917,32947,28253,23010
2002,2607382,739816,60719,16265,662832,890813,152741,27746,17071,4844,398,106,4340,5832,2998538,2119474,535194,385238,149956,343870,459,343411,85801,71496,14305,111,14194,34948,29645,24194
2003,2819867,794250,67624,15684,710942,927026,155044,29289,18188,5123,436,101,4585,5979,3239370,2285042,598616,436063,162553,355712,264,355448,87915,73280,14635,107,14528,36847,31182,24466
2004,3033278,849977,77287,9929,762761,1013363,158804,30834,19101,5352,487,63,4803,6381,3497390,2486360,651958,472230,179728,359072,178,358894,93082,77502,15580,104,15476,37573,32081,23190
2005,3309245,910204,93594,8226,808384,1092419,162917,32605,20312,5587,574,50,4962,6705,3834420,2735598,716112,518486,197626,382710,205,382505,97038,80511,16527,104,16423,39515,33978,23291
2006,3553607,961382,89690,8207,863485,1191678,165644,34451,21453,5804,541,50,5213,7194,4118033,2947041,725899,508714,217185,445093,59,445034,100143,83013,17130,101,17029,41122,35501,26134
2007,3528582,1017523,89567,9858,918098,1351846,165345,35671,21341,6154,542,60,5553,8176,4086851,2982734,742797,525898,216899,361320,65,361255,100794,82430,18364,120,18244,40547,36185,19801
2008,3543208,1159220,100811,18528,1039881,1395098,166267,36673,21310,6972,606,111,6254,8391,4103972,2988025,763891,546114,217777,352056,-66,352122,99109,81267,17842,113,17729,41409,36768,19861
2009,3424220,1263422,121384,48161,1093877,1235927,167464,35372,20447,7544,725,288,6532,7380,3978507,2918768,751560,534015,217545,308179,-56,308235,96101,78081,18020,109,17911,41399,37381,17209
2010,3532153,1424918,141477,52933,1230508,1267804,169207,36789,20875,8421,836,313,7272,7493,4104614,2987129,799598,571998,227600,317887,-29,317916,95619,77471,18148,105,18043,42927,38558,17620
2011,3569879,1473075,143154,42178,1287743,1359443,169521,37768,21059,8690,844,249,7596,8019,4079017,3001097,776266,543694,232572,301654,-69,301723,96586,77704,18882,101,18781,42232,38622,16065
2012,3624304,1441968,148037,30056,1263875,1363716,171755,37437,21102,8395,862,175,7359,7940,4130940,3008839,780162,540633,239529,341939,-82,342021,96974,78217,18757,97,18660,42598,38468,18329
2013,3680166,1485086,153040,21066,1310980,1356403,174626,37346,21075,8504,876,121,7507,7767,4229494,3080377,805636,563975,241661,343481,-69,343550,98845,79440,19405,97,19308,42789,38776,17793
2014,3893469,1578583,153687,12126,1412770,1457520,178221,38882,21846,8857,862,68,7927,8178,4487884,3286487,837666,581234,256432,363731,-56,363787,102764,82356,20408,97,20311,43672,39906,17911
2015,4105096,1651331,152436,6857,1492038,1586217,181184,40526,22657,9114,841,38,8235,8755,4730122,3460203,882889,620159,262730,387030,-60,387090,105201,84779,20422,94,20328,44963,40814,19042
2016,4193713,1715958,144771,5258,1565929,1652915,182992,41327,22917,9377,791,29,8557,9033,4868275,3594470,883898,617070,266828,389907,-60,389967,107042,85950,21092,94,20998,45480,41820,18572
2017,4277056,1795474,151678,4992,1638804,1724445,183563,42476,23300,9781,826,27,8928,9394,4968070,3659824,898679,629411,269268,409567,-59,409626,107591,86113,21478,94,21384,46176,42500,19156
